Stringlänge:	 Rekursiv:	 Iterativ:	 

1	2200	1500
2	18900	1300
3	12900	500
4	1000	700
5	900	500
6	1200	600
7	800	400
8	1300	600
9	1300	700
10	1300	700
11	1500	800
12	1600	700
13	1600	800
14	11800	800
15	1900	900
16	1900	900
17	1800	1000
18	5200	1000
19	12200	800
20	2300	1000
21	2200	1000
22	2200	1100
23	2400	1100
24	2700	1100
25	2600	1100
26	2700	1200
27	2700	1200
28	5700	1300
29	3000	1200
30	3100	1400
31	3100	1300
32	3400	1500
33	3400	11500
34	3500	1500
35	6100	1600
36	3500	1600
37	3700	1500
38	6100	1600
39	3900	1500
40	4300	1600
41	4100	1700
42	4400	1700
43	6500	1800
44	3500	1400
45	5400	2000
46	5000	1900
47	5000	1800
48	7900	1700
49	3300	1200
50	5500	1100
51	3100	1000
52	7800	1800
53	3100	1200
54	5200	1000
55	3000	1100
56	4400	1000
57	3000	1000
58	5200	1100
59	4500	1200
60	3000	1100
61	4700	1200
62	23400	1200
63	4900	1200
64	4700	1300
65	3400	1200
66	4900	1300
67	4800	1300
68	3400	1300
69	3500	1300
70	5000	1300
71	5100	1300
72	3700	1400
73	5500	1300
74	5300	1400
75	5400	1400
76	18300	2300
77	6300	2100
78	6900	2000
79	10300	2700
80	10700	2300
81	10800	1700
82	8500	1500
83	7700	1400
84	7500	1500
85	7600	1600
86	7600	1600
87	8000	1600
88	7800	1600
89	8800	1600
90	7900	1600
91	7800	1700
92	8300	1700
93	8300	1600
94	8200	1800
95	8300	1700
96	6900	1700
97	6700	1700
98	11100	1700
99	8500	1800
100	8500	1800
101	8700	1700
100	8400	1900
200	29300	3200
300	42700	4800
400	65300	6300
500	153000	18000
600	348300	19400
700	385100	20900
800	427100	32800
900	508600	24000
1000	309900	15400
